"crypto_name","crypto_symbol","crypto_type"
Pixels,PIXEL,""
Keep Network,KEEP,""
Braintrust,BTRST,""
Coq Inu,COQ,""
Metaplex,MPLX,""
Powerledger,POWR,""
Symbol,XYM,""
TrueFi,TRU,""
Radiant Capital,RDNT,""
Prom,PROM,""
Vulcan Forged (PYR),PYR,""
UPCX,UPC,""
TerraClassicUSD,USTC,""
LCX,LCX,""
Stratis [New],STRAX,""
Civic,CVC,""
Bone ShibaSwap,BONE,""
Coin98,C98,""
BORA,BORA,""
USDX [Kava],USDX,""
Nosana,NOS,""
IQ,IQ,""
WINkLink,WIN,""
MVL,MVL,""
Bounce Token,AUCTION,""
Zentry,ZENT,""
World Mobile Token,WMT,""
Hive,HIVE,""
Treasure,MAGIC,""
Mines of Dalarnia,DAR,""
Highstreet,HIGH,""
Telos,TLOS,""
Cyber,CYBER,""
Big Time,BIGTIME,""
Celer Network,CELR,""
dKargo,DKA,""
Syscoin,SYS,""
Polyhedra Network,ZKJ,""
Phala Network,PHA,""
Moonriver,MOVR,""
Mumu the Bull,MUMU,""
Chintai,CHEX,""
MiL.k,MLK,""
Sleepless AI,AI,""
Kyber Network Crystal v2,KNC,""
Islamic Coin,ISLM,""
Polymath,POLY,""
Wrapped Islamic Coin,WISLM,""
STP,STPT,""
DODO,DODO,""
Request,REQ,""
Spell Token,SPELL,""
Huobi Token,HT,""
Oraichain,ORAI,""
Synapse,SYN,""
StormX,STMX,""
Steem,STEEM,""
Bazaars,BZR,""
Zano,ZANO,""
HarryPotterObamaSonic10Inu (ERC-20),BITCOIN,""
SmarDex,SDEX,""
Solidus Ai Tech,AITECH,""
FLEX,FLEX,""
MediBloc,MED,""
Rootstock Infrastructure Framework,RIF,""
Hooked Protocol,HOOK,""
BUSD,BUSD,""
Gains Network,GNS,""
Dent,DENT,""
Orbs,ORBS,""
Fusionist,ACE,""
Nakamoto Games,NAKA,""
Euler,EUL,""
Maple,MPL,""
PepeFork,PORK,""
NYM,NYM,""
Maverick Protocol,MAV,""
Shentu,CTK,""
Liquity USD,LUSD,""
BakeryToken,BAKE,""
Dogelon Mars,ELON,""
Portal,PORTAL,""
ApeX Protocol,APEX,""
NetMind Token,NMT,""
Orchid,OXT,""
LUKSO,LYX,""
ChainGPT,CGPT,""
LeverFi,LEVER,""
Liquity,LQTY,""
Anchored Coins AEUR,AEUR,""
BENQI,QI,""
SLERF,SLERF,""
Staika,STIK,""
Seedify.fund,SFUND,""
Covalent X Token,CXT,""
KWD,KWD,""
Clearpool,CPOOL,""
XPLA,XPLA,""
Goldfinch,GFI,""
Acala Token,ACA,""
Constellation,DAG,""
Omni Network,OMNI,""
ShibaBitcoin,SHIBTC,""
Venus BUSD,vBUSD,""
EURC,EURC,""
Pocket Network,POKT,""
MyNeighborAlice,ALICE,""
CUDOS,CUDOS,""
Ardor,ARDR,""
QuarkChain,QKC,""
Myro,MYRO,""
Wen,WEN,""
Undeads Games,UDS,""
ANyONe Protocol,ANYONE,""
Hashflow,HFT,""
FINSCHIA,FNSA,""
Verum Coin,VERUM,""
Lista DAO,LISTA,""
XYO,XYO,""
Shadow Token,SHDW,""
Phoenix,PHB,""
Milady Meme Coin,LADYS,""
LimeWire,LMWR,""
Secret,SCRT,""
Node AI,GPU,""
Function X,FX,""
Pangolin,PNG,""
Dione Protocol,DIONE,""
Stride,STRD,""
ANDY (ETH),ANDY,""
Metal DAO,MTL,""
Wirex Token,WXT,""
michi (SOL),$MICHI,""
Bancor,BNT,""
Renzo,REZ,""
Velodrome Finance,VELO,""
Stargate Finance,STG,""
Verge,XVG,""
Wilder World,WILD,""
Clash of Lilliput,COL,""
Hifi Finance,HIFI,""
ALEX Lab,ALEX,""
Loom Network,LOOM,""
Decentralized Social,DESO,""
Adventure Gold,AGLD,""
CoinEx Token,CET,""
NFPrompt,NFP,""
DAO Maker,DAO,""
MOBOX,MBOX,""
Locus Chain,LOCUS,""
Access Protocol,ACS,""
Apu Apustaja,APU,""
Ergo,ERG,""
Ark,ARK,""
PlatON,LAT,""
Radworks,RAD,""
ArchLoot,AL,""
Artificial Liquid Intelligence,ALI,""
Bitcoin Palladium,BTCP,""
GameBuild,GAME,""
smARTOFGIVING,AOG,""
Hippocrat,HPO,""
MARBLEX,MBX,""
Forta,FORT,""
Badger DAO,BADGER,""
ORIGYN,OGY,""
Gods Unchained,GODS,""
Shuffle,SHFL,""
Snek,SNEK,""
Sweat Economy,SWEAT,""
ARPA,ARPA,""
Metacraft,MCT,""
Toko Token,TKO,""
Bluzelle,BLZ,""
Lift Dollar,USDL,""
Kujira,KUJI,""
REI Network,REI,""
Zebec Network,ZBCN,""
NKN,NKN,""
RACA,RACA,""
Origin Protocol,OGN,""
Tectum,TET,""
Crown by Third Time Games,CROWN,""
TokenFi,TOKEN,""
ViciCoin,VCNT,""
Daddy Tate,DADDY,""
Gitcoin,GTC,""
Kin,KIN,""
Unizen,ZCX,""
WazirX,WRX,""
Stella,ALPHA,""
Myria,MYRIA,""
Alien Worlds,TLM,""
Uquid Coin,UQC,""
Ultiverse,ULTI,""
Self Chain,SLF,""
Pirate Nation,PIRATE,""
Aavegotchi,GHST,""
MAP Protocol,MAPO,""
LTO Network,LTO,""
MovieBloc,MBL,""
OctaSpace,OCTA,""
Ethernity Chain,ERN,""
GamerCoin,GHX,""
Cobak Token,CBK,""
Matr1x,MAX,""
Tenset,"10SET",""
PeiPei (ETH),PEIPEI,""
Tokamak Network,TON,""
ArbDoge AI,AIDOGE,""
Metadium,META,""
Tether EURt,EURt,""
Energy Web Token,EWT,""
Enzyme,MLN,""
HyperCycle,HYPC,""
Automata Network,ATA,""
NULS,NULS,""
Ribbon Finance,RBN,""
Degen,DEGEN,""
RAMP,RAMP,""
HashAI,HASHAI,""
Tensor,TNSR,""
Streamr,DATA,""
Cream Finance,CREAM,""
DIMO,DIMO,""
DeFi Pulse Index,DPI,""
CLV,CLV,""
RARI,RARI,""
Kendu Inu,KENDU,""
Bitget Wallet Token,BWB,""
Viction,VIC,""
Ampleforth Governance Token,FORTH,""
SaitaChain Coin,STC,""
VIDT DAO,VIDT,""
Orion,ORN,""
Heroes of Mavia,MAVIA,""
Across Protocol,ACX,""
Aergo,AERGO,""
Biswap,BSW,""
LooksRare,LOOKS,""
Star Atlas DAO,POLIS,""
Elastos,ELA,""
Onyxcoin,XCN,""
DEXTools,DEXT,""
DIA,DIA,""
Celo Dollar,CUSD,""
IDEX,IDEX,""
Polkastarter,POLS,""
Beta Finance,BETA,""
Contentos,COS,""
Sologenic,SOLO,""
MANEKI,MANEKI,""
Perpetual Protocol,PERP,""
Persistence One,XPRT,""
Whiteheart,WHITE,""
district0x,DNT,""
League of Kingdoms Arena,LOKA,""
Cortex,CTXC,""
Alkimi,ADS,""
FUNToken,FUN,""
Boba Network,BOBA,""
Ren,REN,""
ThunderCore,TT,""
Pirate Chain,ARRR,""
ROGin AI,ROG,""
Isiklar Coin,ISIKC,""
Mother Iggy,MOTHER,""
Aleph.im,ALEPH,""
KARRAT,KARRAT,""
Zukiverse,ZUKI,""
Toshi,TOSHI,""
Litentry,LIT,""
Hunt Town,HUNT,""
OmniFlix Network,FLIX,""
Victoria VR,VR,""
Boson Protocol,BOSON,""
QuickSwap [Old],QUICK,""
Bella Protocol,BEL,""
Steem Dollars,SBD,""
Artrade,ATR,""
NEOPIN,NPT,""
RETARDIO,RETARDIO,""
Flamingo,FLM,""
Strike,STRK,""
StaFi,FIS,""
Bitgert,BRISE,""
Quickswap [New],QUICK,""
Komodo,KMD,""
UXLINK,UXLINK,""
Electroneum,ETN,""
DEAPcoin,DEP,""
Ultra,UOS,""
Sovryn,SOV,""
Wanchain,WAN,""
FEED EVERY GORILLA,FEG,""
Rally,RLY,""
DecideAI,DCD,""
Solana Name Service,FIDA,""
Alchemix,ALCX,""
BOBO,BOBO,""
BIM,BIM,""
Reserve Dollar,RSV,""
Ampleforth,AMPL,""
Dimitra,DMTR,""
PaLM AI,PALM,""
Dynex,DNX,""
Eurite,EURI,""
Virtuals Protocol,VIRTUAL,""
Crypto-AI-Robo.com,CAIR,""
GameFi.org,GAFI,""
OMG Network,OMG,""
XSGD,XSGD,""
crow with knife,CAW,""
Dego Finance,DEGO,""
trac (Ordinals),TRAC,""
Invest Zone,IVfun,""
Star Atlas,ATLAS,""
Data Ownership Protocol,DOP,""
Reef,REEF,""
StrikeX,STRX,""
PlayDapp,PDA,""
Games for a Living,GFAL,""
Doge Killer,LEASH,""
Propbase,PROPS,""
Decimal,DEL,""
Harvest Finance,FARM,""
Concordium,CCD,""
SelfKey,KEY,""
Helium IOT,IOT,""
RichQUACK.com,QUACK,""
Paris Saint-Germain Fan Token,PSG,""
FirmaChain,FCT,""
Voxies,VOXEL,""
Matr1x Fire,FIRE,""
Nexera,NXRA,""
Miracle Play,MPT,""
Bitcoin Wizards,WZRD,""
Gearbox Protocol,GEAR,""
Alpaca Finance,ALPACA,""
Dora Factory,DORA,""
COMBO,COMBO,""
AVA,AVA,""
Assemble AI,ASM,""
BFG Token,BFG,""
sUSD,SUSD,""
Kishu Inu,KISHU,""
Connex,CONX,""
Numbers Protocol,NUM,""
Tranchess,CHESS,""
Measurable Data Token,MDT,""
Blockchain Foundation for Innovation & Collaboration,BFIC,""
Edelcoin,EDLC,""
Aura Finance,AURA,""
Vertex Protocol,VRTX,""
Stronghold Token,SHX,""
Cratos,CRTS,""
Verasity,VRA,""
SaucerSwap,SAUCE,""
Q Protocol,QGOV,""
VAIOT,VAI,""
WeBuy,WE,""
pSTAKE Finance,PSTAKE,""
SIDUS,SIDUS,""
Ice Open Network,ICE,""
APX,APX,""
Groestlcoin,GRS,""
ASD,ASD,""
USDK,USDK,""
Grok,GROK,""
Green Satoshi Token (SOL),GST,""
"8-Bit Coin",COIN,""
XeniosCoin,XNC,""
Samoyedcoin,SAMO,""
Linear Finance,LINA,""
Sentinel Protocol,UPP,""
Statter Network,STT,""
IRISnet,IRIS,""
ChainSwap,CSWAP,""
Koala AI,KOKO,""
Beefy,BIFI,""
Burnedfi,BURN,""
LinqAI,LNQ,""
GEODNET,GEOD,""
CEEK VR,CEEK,""
catwifhat,CWIF,""
Ginnan The Cat,GINNAN,""
KLAYswap Protocol,KSP,""
SingularityDAO,SDAO,""
VITE,VITE,""
Swarm Markets,SMT,""
IAGON,IAG,""
BurgerCities,BURGER,""
AhaToken,AHT,""
Propchain,PROPC,""
Moss Coin,MOC,""
Hacken Token,HAI,""
MEMETOON,MEME,""
Save,SLND,""
Alpha Quark Token,AQT,""
Cornucopias,COPI,""
Hoppy,HOPPY,""
AirDAO,AMB,""
XPR Network,XPR,""
Gelato,GEL,""
PAID Network,PAID,""
xMoney,UTK,""
Unifi Protocol DAO,UNFI,""
BIDR,BIDR,""
AdEx,ADX,""
dForce,DF,""
ResearchCoin,RSC,""
UniLend,UFT,""
cheqd,CHEQ,""
Chainge,XCHNG,""
FIO Protocol,FIO,""
The Root Network,ROOT,""
Multibit,MUBI,""
Guild of Guardians,GOG,""
PolySwarm,NCT,""
ZUSD,ZUSD,""
Kava Lend,HARD,""
Stader,SD,""
Frontier,FRONT,""
Diamond,DMD,""
Agoras: Currency of Tau,AGRS,""
Rupiah Token,IDRT,""
StorX Network,SRX,""
Neon EVM,NEON,""
Cere Network,CERE,""
Wing Finance,WING,""
Parcl,PRCL,""
AXEL,AXEL,""
Morpheus.Network,MNW,""
Polytrade,TRADE,""
Vectorspace AI,VXV,""
Akropolis,AKRO,""
FC Barcelona Fan Token,BAR,""
Lollybomb Meme Coin,BOMB,""
OORT,OORT,""
MonaCoin,MONA,""
Crypto Asset Governance Alliance,CAGA,""
Hermez Network,HEZ,""
MATH,MATH,""
HOPR,HOPR,""
Keep3rV1,KP3R,""
Moonchain,MXC,""
Lovely Finance [New],LOVELY,""
Gifto,GFT,""
Impossible Finance Launchpad,IDIA,""
Tectonic,TONIC,""
Verified USD,USDV,""
Ancient8,A8,""
ZTX,ZTX,""
Moon Tropica,CAH,""
Creta World,CRETA,""
DeFiChain,DFI,""
MUX Protocol,MCB,""
AVINOC,AVINOC,""
Brainlet,BRAINLET,""
PARSIQ,PRQ,""
Fluence,FLT,""
Counterparty,XCP,""
ELYSIA,EL,""
MON Protocol,MON,""
UNS TOKEN,UNS,""
Sabai Protocol,SABAI,""
SIX,SIX,""
ParagonsDAO,PDT,""
PIVX,PIVX,""
NATIX Network,NATIX,""
Billy,BILLY,""
Cetus Protocol,CETUS,""
Dero,DERO,""
GAMEE,GMEE,""
Defigram,DFG,""
Nine Chronicles,WNCG,""
Manchester City Fan Token,CITY,""
Galatasaray Fan Token,GAL,""
Foxsy AI,FOXSY,""
Smog,SMOG,""
e-Radix,EXRD,""
SquidGrow,SQUIDGROW,""
BarnBridge,BOND,""
Radiant,RXD,""
MetaMAFIA,MAF,""
Aurory,AURY,""
GYEN,GYEN,""
Mango,MNGO,""
Kwenta,KWENTA,""
Koinos,KOIN,""
Apeiron,APRS,""
rhino.fi,DVF,""
DFI.Money,YFII,""
DMAIL Network,DMAIL,""
Basenji,BENJI,""
XCAD Network,XCAD,""
Klever,KLV,""
KYVE Network,KYVE,""
Oho,OHO,""
TARS AI,TAI,""
Firo,FIRO,""
BOB (ETH),BOB,""
Inverse Finance,INV,""
DOJO Protocol,DOAI,""
Botto,BOTTO,""
Shido [New],SHIDO,""
LandWolf (SOL),WOLF,""
Shapeshift FOX Token,FOX,""
Santos FC Fan Token,SANTOS,""
Graphlinq Chain,GLQ,""
Opulous,OPUL,""
Zypto,ZYPTO TOKEN,""
Minswap,MIN,""
TokenPocket,TPT,""
UNCX Network,UNCX,""
iMe Lab,LIME,""
Swarm,BZZ,""
Gaimin,GMRX,""
Commune AI,COMAI,""
Azuro Protocol,AZUR,""
Zero1 Labs,DEAI,""
zkRace,ZERC,""
Mdex,MDX,""
Taraxa,TARA,""
OG Fan Token,OG,""
Kryll,KRL,""
AirSwap,AST,""
Sentinel,DVPN,""
Electric Vehicle Zone,EVZ,""
RyuJin,RYU,""
Volt Inu,VOLT,""
DeepBrain Chain,DBC,""
Stratos,STOS,""
Quiztok,QTCON,""
Meter Governance,MTRG,""
Altura,ALU,""
Viberate,VIB,""
Bubblefong,BBF,""
SpaceN,SN,""
Pandora,PANDORA,""
WiFi Map,WIFI,""
Cryptex Finance,CTX,""
Nimiq,NIM,""
zKML,ZKML,""
Shark Cat,SC,""
Blendr Network,BLENDR,""
Rangers Protocol Gas,RPG,""
NuNet,NTX,""
Suzuverse,SGT,""
Pepe 2.0,PEPE2.0,""
ZEON,ZEON,""
Bitcoin Diamond,BCD,""
Alpine F1 Team Fan Token,ALPINE,""
Book.io,BOOK,""
Decubate,DCB,""
Pitbull,PIT,""
Nibiru Chain,NIBI,""
SHPING,SHPING,""
RabbitX,RBX,""
SwissCheese,SWCH,""
FONSmartChain,FON,""
ALTAVA,TAVA,""
DUKO,DUKO,""
Hege,HEGE,""
DeFi Kingdoms,JEWEL,""
AIT Protocol,AIT,""
zkLink,ZKL,""
GT Protocol,GTAI,""
Veno Finance,VNO,""
HyperGPT,HGPT,""
Nexa,NEXA,""
Hegic,HEGIC,""
Electra Protocol,XEP,""
QnA3.AI,GPT,""
AS Roma Fan Token,ASR,""
Pomerium,PMG,""
Super Zero Protocol,SERO,""
Mystiko Network,XZK,""
Diamond Launch,DLC,""
Velas,VLX,""
Comtech Gold,CGO,""
Juventus Fan Token,JUV,""
Clore.ai,CLORE,""
Aventus,AVT,""
Solchat,CHAT,""
Gleec Coin,GLEEC,""
r/CryptoCurrency Moons,MOON,""
"3space Art",PACE,""
Tokemak,TOKE,""
MileVerse,MVC,""
Sperax,SPA,""
Hatom,HTM,""
Quantum Resistant Ledger,QRL,""
Pollux Coin,POX,""
Kleros,PNK,""
Numerico,NWC,""
OpenChat,CHAT,""
Vara Network,VARA,""
NAVI Protocol,NAVX,""
BlackFort Exchange Network,BXN,""
SuperWalk,GRND,""
Dimecoin,DIME,""
Castello Coin,CAST,""
Ooki Protocol,OOKI,""
CatCoin,CAT,""
Arianee,ARIA20,""
Tornado Cash,TORN,""
SwftCoin,SWFTC,""
Chrono.tech,TIME,""
Solanium,SLIM,""
TrustSwap,SWAP,""
Credefi,CREDI,""
HELLO Labs,HELLO,""
School Hack Coin,SHC,""
BreederDAO,BREED,""
FC Porto Fan Token,PORTO,""
TROY,TROY,""
AMO Coin,AMO,""
LOBO•THE•WOLF•PUP,LOBO,""
Dvision Network,DVI,""
Minati Coin,MNTC,""
MixMarvel,MIX,""
Lumerin,LMR,""
OAX,OAX,""
S.S. Lazio Fan Token,LAZIO,""
Suku,SUKU,""
Fulcrom Finance,FUL,""
Galeon,GALEON,""
r/FortNiteBR Bricks,BRICK,""
ParaSwap,PSP,""
Bitcoin Atom,BCA,""
Waffles Davincij15's Cat,$WAFFLES,""
PAW,PAW,""
Polaris Share,POLA,""
Slothana,SLOTH,""
OpenGPU,oGPU,""
Jesus Coin,JESUS,""
HotKeySwap,HOTKEY,""
Dacxi,DACXI,""
Alitas,ALT,""
Metahero,HERO,""
Æternity,AE,""
Bloktopia,BLOK,""
Atlas Navi,NAVI,""
Ambire Wallet,WALLET,""
NFT Worlds,WRLD,""
Peercoin,PPC,""
MangoMan Intelligent,MMIT,""
MAD,MAD,""
Poolz Finance,POOLX,""
Symbiosis,SIS,""
ICHI,ICHI,""
Splintershards,SPS,""
Step Finance,STEP,""
Openfabric AI,OFN,""
Prosper,PROS,""
SPECTRE AI,SPECTRE,""
Arsenal Fan Token,AFC,""
Colony,CLY,""
Argentine Football Association Fan Token,ARG,""
CENNZnet,CENNZ,""
UFO Gaming,UFO,""
Astrafer,ASTRAFER,""
Kasta,KASTA,""
Brickken,BKN,""
Blocksquare Token,BST,""
Tarot,TAROT,""
Entangle,NGL,""
BioPassport Token,BIOT,""
Super Trump Coin,STRUMP,""
Cross The Ages,CTA,""
Rain Coin,RAIN,""
ScPrime,SCP,""
Hathor,HTR,""
Nodle,NODL,""
KardiaChain,KAI,""
Orange,ORNJ,""
AC Milan Fan Token,ACM,""
BADMAD ROBOTS,METAL,""
Saito,SAITO,""
Silly Dragon,SILLY,""
Katana Inu,KATA,""
Winnerz,WNZ,""
Ben the Dog,BENDOG,""
Troll,TROLL,""
Vita Inu,VINU,""
Creo Engine,CREO,""
Arix,ARIX,""
Nestree,EGG,""
Atletico De Madrid Fan Token,ATM,""
Metacade,MCADE,""
nubcat,NUB,""
KlimaDAO,KLIMA,""
WAGMI Games,WAGMIGAMES,""
DexCheck AI,DCK,""
Soil,SOIL,""
TOPGOAL,GOAL,""
LATOKEN,LA,""
Shyft Network,SHFT,""
Pallapay,PALLA,""
BytomDAO,BTM,""
Matrix AI Network,MAN,""
RocketX exchange,RVF,""
ivendPay,IVPAY,""
BlackCardCoin,BCCOIN,""
Asterix Labs,ASTX,""
HUSD,HUSD,""
POOH,POOH,""
ZKFair,ZKF,""
Nyan Heroes,NYAN,""
Octokn,OTK,""
Adshares,ADS,""
VNX Swiss Franc,VCHF,""
tomi,TOMI,""
Pikaboss,PIKA,""
Observer,OBSR,""
Baanx,BXX,""
Shiden Network,SDN,""
Efinity Token,EFI,""
Devve,DEVVE,""
LeisureMeta,LM,""
SAD HAMSTER,HAMMY,""
Cellframe,CELL,""
Namecoin,NMC,""
Farcana,FAR,""
Skey Network,SKEY,""
Serum,SRM,""
BEERCOIN,BEER,""
SPX6900,SPX,""
SpookySwap,BOO,""
FNCY,FNCY,""
Mintlayer,ML,""
Choise.ai,CHO,""
Inter Milan Fan Token,INTER,""
OVR,OVR,""
PERI Finance,PERI,""
